Date,Open,High,Low,Close,Adj Close,Volume,Ticker
2024-09-25,158.91,159.8,158.51,159.45,158.54,2827100,ICE
2024-09-24,159.63,159.79,157.48,158.75,157.85,2826700,ICE
2024-09-23,159.84,160.98,159.4,159.95,159.04,1639300,ICE
2024-09-20,159.02,159.85,158.23,159.84,158.93,4843400,ICE
2024-09-19,162.18,162.39,157.95,158.87,157.97,4459100,ICE
2024-09-18,162.81,163.27,161.14,161.22,160.30,2917100,ICE
2024-09-17,161.79,163.27,161.71,162.81,161.88,2319400,ICE
2024-09-16,161.46,162.81,161.25,161.91,160.99,1681500,ICE
2024-09-13,161.32,161.63,160.7,161.36,159.99,2418700,ICE
2024-09-12,160.05,161.55,159.64,161.14,159.78,4332200,ICE
2024-09-11,161.27,161.53,157.88,159.99,158.64,3072500,ICE
2024-09-10,162.14,162.76,161.0,161.97,160.60,2008500,ICE
2024-09-09,161.43,162.8,160.95,161.7,160.33,3669100,ICE
2024-09-06,162.97,163.71,159.71,160.49,159.13,2902200,ICE
2024-09-05,162.18,162.92,161.05,162.6,161.22,1905500,ICE
2024-09-04,161.63,162.76,161.19,162.43,161.06,2320700,ICE
2024-09-03,161.44,162.4,160.22,161.44,160.07,2556000,ICE
2024-08-30,160.47,161.76,159.95,161.55,160.18,3067700,ICE
2024-08-29,160.77,161.28,160.08,160.22,158.86,2119800,ICE
2024-08-28,160.8,161.97,160.21,160.77,159.41,2341500,ICE
2024-08-27,160.49,161.49,159.74,160.6,159.24,1344700,ICE
2024-08-26,160.51,161.11,159.87,160.31,158.95,926000,ICE
2024-08-23,158.98,160.25,158.87,160.01,158.66,2665200,ICE
2024-08-22,158.11,158.7,157.4,158.6,157.26,2288800,ICE
2024-08-21,157.76,158.46,156.96,158.11,156.77,2179700,ICE
2024-08-20,157.5,157.85,156.49,157.75,156.41,2029100,ICE
2024-08-19,156.54,157.49,156.23,157.27,155.94,1369300,ICE
2024-08-16,155.87,156.68,155.19,156.54,155.22,2004500,ICE
2024-08-15,156.71,157.18,154.53,155.5,154.18,2659700,ICE
2024-08-14,154.87,156.54,153.8,156.12,154.80,1994600,ICE
2024-08-13,154.6,155.16,152.87,154.66,153.35,3558200,ICE
2024-08-12,154.0,154.63,152.98,153.89,152.59,2829200,ICE
2024-08-09,153.73,154.38,152.83,154.08,152.78,2787400,ICE
2024-08-08,151.53,154.02,150.95,153.76,152.46,3647900,ICE
2024-08-07,151.51,152.63,150.77,151.12,149.84,3314700,ICE
2024-08-06,149.22,152.13,148.17,150.51,149.24,2949200,ICE
2024-08-05,152.39,152.39,146.67,148.78,147.52,4003300,ICE
2024-08-02,150.0,151.97,148.47,149.85,148.58,4482300,ICE
2024-08-01,150.28,153.28,148.33,151.0,149.72,4537000,ICE
2024-07-31,152.48,152.96,151.3,151.56,150.28,3890300,ICE
2024-07-30,151.36,152.38,151.15,151.3,150.02,2477800,ICE
2024-07-29,151.1,151.5,150.39,151.16,149.88,1186100,ICE
2024-07-26,149.75,151.72,149.56,151.0,149.72,2066900,ICE
2024-07-25,148.0,150.39,147.56,149.03,147.77,3164800,ICE
2024-07-24,148.25,149.05,147.18,147.51,146.26,2939500,ICE
2024-07-23,149.92,150.0,148.38,148.57,147.31,3545700,ICE
2024-07-22,147.75,149.47,147.75,149.24,147.98,2697300,ICE
2024-07-19,148.57,148.57,146.69,147.68,146.43,2584700,ICE
2024-07-18,149.09,149.6,147.45,147.76,146.51,3255500,ICE
2024-07-17,148.6,149.52,148.18,149.41,148.15,2794300,ICE
2024-07-16,148.04,149.35,147.61,148.92,147.66,3823600,ICE
2024-07-15,148.91,149.11,147.48,147.82,146.57,2950900,ICE
2024-07-12,147.73,149.44,147.5,148.4,147.14,3718900,ICE
2024-07-11,145.45,147.32,145.21,147.15,145.90,3340300,ICE
2024-07-10,143.0,144.47,142.78,144.41,143.19,2873900,ICE
2024-07-09,141.31,142.49,140.32,142.46,141.25,2368000,ICE
2024-07-08,141.13,142.19,140.84,141.17,139.98,2307400,ICE
2024-07-05,141.16,141.16,139.61,140.79,139.60,2099900,ICE
2024-07-03,141.25,141.59,140.25,141.16,139.97,2070100,ICE
2024-07-02,137.11,140.98,136.96,140.82,139.63,3321000,ICE
2024-07-01,138.65,138.7,136.25,136.93,135.77,2386100,ICE
2024-06-28,137.81,138.09,136.21,136.89,135.73,4067400,ICE
2024-06-27,137.21,137.62,136.6,137.47,136.31,2112300,ICE
2024-06-26,136.66,137.7,136.59,137.39,136.23,2389200,ICE
2024-06-25,138.66,139.09,136.62,137.33,136.17,2250000,ICE
2024-06-24,138.12,139.55,137.49,138.72,137.55,2368900,ICE
2024-06-21,136.96,137.98,136.08,137.84,136.67,4999400,ICE
2024-06-20,135.63,137.39,134.78,137.11,135.95,2286100,ICE
2024-06-18,136.21,136.93,135.42,136.38,135.23,3034600,ICE
2024-06-17,134.98,136.43,133.97,136.2,135.05,2077200,ICE
2024-06-14,134.68,135.84,134.0,135.67,134.52,1515300,ICE
2024-06-13,135.53,135.68,134.57,135.26,134.12,1971500,ICE
2024-06-12,136.36,137.32,135.99,136.05,134.45,3516400,ICE
2024-06-11,133.58,134.71,132.93,134.59,133.01,2427200,ICE
2024-06-10,133.5,134.41,133.07,133.88,132.31,2323000,ICE
2024-06-07,134.35,134.8,133.56,133.79,132.22,2843900,ICE
2024-06-06,135.63,135.65,134.32,134.86,133.28,1242800,ICE
2024-06-05,134.5,135.8,133.2,135.34,133.75,2259300,ICE
2024-06-04,133.16,135.31,132.91,134.76,133.18,2235100,ICE
2024-06-03,134.4,134.83,132.57,133.65,132.08,2043400,ICE
2024-05-31,133.33,134.32,132.92,133.9,132.33,2964500,ICE
2024-05-30,132.33,133.6,131.79,133.24,131.68,2844900,ICE
2024-05-29,132.71,132.96,131.87,131.95,130.40,1471400,ICE
2024-05-28,136.37,136.62,133.6,133.68,132.11,1815500,ICE
2024-05-24,135.81,136.55,135.71,136.34,134.74,926100,ICE
2024-05-23,137.57,137.57,134.82,135.4,133.81,1595900,ICE
2024-05-22,136.48,137.5,135.77,136.89,135.28,1295700,ICE
2024-05-21,137.15,137.55,136.61,137.27,135.66,1681700,ICE
2024-05-20,137.85,138.09,136.84,136.95,135.34,1418700,ICE
2024-05-17,137.81,138.46,137.01,138.4,136.77,2060700,ICE
2024-05-16,137.81,138.5,137.04,137.11,135.50,2205800,ICE
2024-05-15,134.89,138.12,134.89,137.87,136.25,2508500,ICE
2024-05-14,134.25,134.62,133.47,134.39,132.81,1415800,ICE
2024-05-13,134.4,134.99,133.56,133.74,132.17,1473800,ICE
2024-05-10,135.28,135.89,133.45,133.99,132.42,1933300,ICE
2024-05-09,133.4,135.05,133.1,134.95,133.37,1474200,ICE
2024-05-08,133.29,133.82,132.25,133.39,131.82,1405200,ICE
2024-05-07,132.22,133.79,131.6,133.72,132.15,2397900,ICE
2024-05-06,130.82,131.78,130.39,131.28,129.74,1738900,ICE
2024-05-03,127.8,131.68,127.8,130.5,128.97,3991200,ICE
2024-05-02,129.35,130.2,124.34,126.54,125.05,4364100,ICE
2024-05-01,128.83,130.47,128.45,128.68,127.17,3116700,ICE
2024-04-30,130.05,130.71,128.74,128.76,127.25,2304500,ICE
2024-04-29,131.65,132.87,130.52,130.78,129.24,1557900,ICE
2024-04-26,131.74,132.3,130.89,131.7,130.15,2406700,ICE
2024-04-25,131.96,132.04,130.43,131.82,130.27,1923000,ICE
2024-04-24,132.0,132.65,131.04,132.57,131.01,2498900,ICE
2024-04-23,132.0,132.47,131.4,132.33,130.78,2375900,ICE
2024-04-22,132.1,132.37,131.12,131.65,130.10,1877300,ICE
2024-04-19,131.37,131.78,130.24,131.21,129.67,2263400,ICE
2024-04-18,131.5,131.5,130.18,130.98,129.44,2015000,ICE
2024-04-17,132.0,132.0,130.0,130.74,129.20,2362400,ICE
2024-04-16,130.6,131.31,129.46,129.9,128.37,2637600,ICE
2024-04-15,134.81,134.85,130.16,130.54,129.01,2264800,ICE
2024-04-12,132.8,134.49,132.65,133.55,131.98,3255800,ICE
2024-04-11,132.98,134.33,132.34,133.48,131.91,2256600,ICE
2024-04-10,133.48,134.81,132.45,132.94,131.38,2151900,ICE
2024-04-09,137.43,137.75,134.54,135.06,133.47,2140000,ICE
2024-04-08,138.2,138.2,136.79,136.88,135.27,1980800,ICE
2024-04-05,136.74,137.98,136.06,137.87,136.25,2328200,ICE
2024-04-04,138.25,138.87,136.25,136.7,135.09,2744700,ICE
2024-04-03,137.33,138.16,136.66,137.39,135.78,2426600,ICE
2024-04-02,136.87,137.53,136.02,137.5,135.89,1834300,ICE
2024-04-01,137.66,137.98,136.23,137.03,135.42,1640500,ICE
2024-03-28,137.36,137.94,136.36,137.43,135.82,2596800,ICE
2024-03-27,138.16,138.47,136.04,136.98,135.37,2050500,ICE
2024-03-26,136.08,137.95,135.99,137.12,135.51,2555100,ICE
2024-03-25,136.08,136.36,135.26,135.81,134.22,1984500,ICE
2024-03-22,138.25,138.39,135.99,136.23,134.63,2024100,ICE
2024-03-21,136.37,138.64,135.93,138.1,136.48,2640900,ICE
2024-03-20,135.27,136.42,134.15,136.1,134.50,2243100,ICE
2024-03-19,134.52,136.51,134.43,135.5,133.91,4332400,ICE
2025-03-19,209.19,210.92,208.61,210.44,210.44,505460,ADI
2025-03-18,210.58,210.75,207.69,209.16,209.16,2657000,ADI
2025-03-17,207.75,213.37,207.37,211.68,211.68,2514500,ADI
2025-03-14,207.36,209.85,206.23,208.75,208.75,2614100,ADI
2025-03-13,206.0,208.16,202.59,203.8,203.80,2625200,ADI
2025-03-12,209.08,212.99,205.62,206.62,206.62,3917700,ADI
